Word,Type,Meaning 1,Meaning 2,Meaning 3,Meaning 4,Meaning 5,Meaning 6,Meaning 7,Meaning 8,Meaning 9,Meaning 10
mollify,Verb,cause to be more favorably inclined; gain the good will of,"make more temperate, acceptable, or suitable by adding something else",make less rigid or softer,,,,,,,
monotony,Noun,"the quality of wearisome constancy, routine, and lack of variety",constancy of tone or pitch or inflection,,,,,,,,
mundane,Adjective,found in the ordinary course of events,concerned with the world or worldly matters,belonging to this earth or world; not ideal or heavenly,,,,,,,
naive,Adjective,marked by or showing unaffected simplicity and lack of guile or worldly experience,of or created by one without formal training; simple or naive in style,inexperienced,lacking information or instruction,not initiated; deficient in relevant experience,,,,,
nascent,Adjective,being born or beginning,,,,,,,,,
neglect,Noun,lack of attention and due care,the state of something that has been unused and neglected,willful lack of care and attention,the trait of neglecting responsibilities and lacking concern,failure to act with the prudence that a reasonable person would exercise under the same circumstances,,,,,
neglect,Verb,leave undone or leave out,fail to do something; leave something undone,fail to attend to,give little or no attention to,,,,,,
nonplussed,Verb,be a mystery or bewildering to,,,,,,,,,
nonplussed,Adjective,filled with bewilderment,,,,,,,,,
notoriety,Noun,the state of being known for some unfavorable act or quality,,,,,,,,,
nuance,Noun,a subtle difference in meaning or opinion or attitude,,,,,,,,,
obscure,Verb,make less visible or unclear,"make unclear, indistinct, or blurred",make obscure or unclear,"reduce a vowel to a neutral one, such as a schwa",make undecipherable or imperceptible by obscuring or concealing,,,,,
obscure,Adjective,not clearly expressed or understood,marked by difficulty of style or expression,difficult to find,not famous or acclaimed,not drawing attention,remote and separate physically or socially,,,,
obstinate,Verb,persist stubbornly,,,,,,,,,
obstinate,Adjective,tenaciously unwilling or marked by tenacious unwillingness to yield,stubbornly persistent in wrongdoing,resistant to guidance or discipline,,,,,,,
obviate,Verb,do away with,prevent the occurrence of; prevent from happening,,,,,,,,
occlude,Verb,block passage through,,,,,,,,,
occult,Noun,supernatural forces and events and beings collectively,supernatural practices and techniques,,,,,,,,
occult,Verb,cause an eclipse of (a celestial body,become concealed or hidden from view or have its light extinguished,hide from view,,,,,,,
occult,Adjective,hidden and difficult to see,having an import not apparent to the senses nor obvious to the intelligence; beyond ordinary understanding,,,,,,,,
offset,Noun,the time at which something is supposed to begin,a compensating equivalent,a horizontal branch from the base of plant that produces new plants from buds at its tips,a natural consequence of development,"a plate makes an inked impression on a rubber-blanketed cylinder, which in turn transfers it to the paper",structure where a wall or building narrows abruptly,,,,
offset,Verb,compensate for or counterbalance,make up for,cause (printed matter,create an offset in,produce by offset printing,,,,,
olfactory,Adjective,of or relating to olfaction,,,,,,,,,
omniscience,Noun,the state of being omniscient; having infinite knowledge,,,,,,,,,
onerous,Adjective,not easily borne; wearing,,,,,,,,,
opportunism,Noun,taking advantage of opportunities without regard for the consequences for others,,,,,,,,,
opprobrium,Noun,state of disgrace resulting from public abuse,a state of extreme dishonor,,,,,,,,
oscillate,Verb,be undecided about something; waver between conflicting positions or courses of action,move or swing from side to side regularly,,,,,,,,
ostentatious,Adjective,intended to attract notice and impress others,(of a display,,,,,,,,
outstrip,Verb,be or do something to a greater degree,go far ahead of,,,,,,,,
overshadow,Verb,be greater in significance than,make appear small by comparison,cast a shadow upon,,,,,,,
painstaking,Adjective,characterized by extreme care and great effort,,,,,,,,,
partial,Noun,the derivative of a function of two or more variables with respect to a single variable while the other variables are considered to be constant,a harmonic with a frequency that is a multiple of the fundamental frequency,,,,,,,,
partial,Adjective,being or affecting only a part; not total,showing favoritism,(followed by `of' or `to',,,,,,,
paucity,Noun,an insufficient quantity or number,,,,,,,,,
pedantic,Adjective,marked by a narrow focus on or display of learning especially its trivial aspects,,,,,,,,,
pedestrian,Noun,a person who travels by foot,,,,,,,,,
pedestrian,Adjective,lacking wit or imagination,,,,,,,,,
perfidy,Noun,betrayal of a trust,an act of deliberate betrayal,,,,,,,,
perfunctory,Adjective,hasty and without attention to detail; not thorough,or cursory,done or produced as a formality only,,,,,,,
peripheral,Adjective,on or near an edge or constituting an outer boundary; the outer area,related to the key issue but not of central importance,,,,,,,,
permeate,Verb,spread or diffuse through,pass through,penetrate mutually or be interlocked,,,,,,,
perseverance,Noun,persistent determination,the act of persisting or persevering; continuing or repeating behavior,,,,,,,,
peruse,Verb,examine or consider with attention and in detail,,,,,,,,,
pervasive,Adjective,spreading or spread throughout,,,,,,,,,
phenomena,Noun,any state or process known through the senses rather than by intuition or reasoning,a remarkable development,,,,,,,,
phlegmatic,Adjective,showing little emotion,,,,,,,,,
pith,Noun,soft spongelike central cylinder of the stems of most flowering plants,the choicest or most essential or most vital part of some idea or experience,,,,,,,,
pith,Verb,remove the pith from (a plant,,,,,,,,,
plastic,Noun,generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives,a card (usually plastic,,,,,,,,
plastic,Adjective,capable of being molded or modeled (especially of earth or clay or other soft material,capable of being influenced or formed,forming or capable of forming or molding or fashioning,,,,,,,
platitude,Noun,a trite or obvious remark,,,,,,,,,
plausible,Adjective,"apparently reasonable and credible, and therefore convincing",given to or characterized by presenting specious arguments,,,,,,,,
plethora,Noun,extreme excess,,,,,,,,,
plummet,Noun,the metal bob of a plumb line,,,,,,,,,
plummet,Verb,drop sharply,,,,,,,,,
polarize,Verb,cause to vibrate in a definite pattern,cause to concentrate about two conflicting or contrasting positions,become polarized in a conflict or contrasting situation,,,,,,,
polemical,Adjective,of or involving dispute or controversy,,,,,,,,,
precarious,Adjective,affording no ease or reassurance,fraught with danger,not secure; beset with difficulties,,,,,,,
preceded,Verb,be earlier in time; go back further,come before,be the predecessor of,move ahead (of others,furnish with a preface or introduction,,,,,
precursor,Noun,a substance from which another substance is formed (especially by a metabolic reaction,a person who goes before or announces the coming of another,something that precedes and indicates the approach of something or someone,,,,,,,
prescient,Adjective,perceiving the significance of events before they occur,,,,,,,,,
presumptuous,Adjective,excessively forward,,,,,,,,,
prevail,Verb,"be larger in number, quantity, power, status or importance","be valid, applicable, or true",continue to exist,prove superior,use persuasion successfully,,,,,
pristine,Adjective,completely free from dirt or contamination,immaculately clean and unused,,,,,,,,
prodigious,Adjective,so great in size or force or extent as to elicit awe,of momentous or ominous significance,far beyond what is usual in magnitude or degree,,,,,,,
profligate,Noun,a dissolute man in fashionable society,a recklessly extravagant consumer,,,,,,,,
profligate,Adjective,recklessly wasteful,unrestrained by convention or morality,,,,,,,,
proliferate,Verb,grow rapidly,cause to grow or increase rapidly,,,,,,,,
propitiate,Verb,make peace with,,,,,,,,,
prospective,Adjective,of or concerned with or related to the future,,,,,,,,,
qualification,Noun,an attribute that must be met or complied with and that fits a person for something,the act of modifying or changing the strength of some idea,a statement that limits or restricts some claim,,,,,,,
quotidian,Adjective,found in the ordinary course of events,,,,,,,,,
rationalize,Verb,"defend, explain, clear away, or make excuses for by reasoning",weed out unwanted or unnecessary things,structure and run according to rational or scientific principles in order to achieve desired results,think rationally; employ logic or reason,remove irrational quantities from,,,,,
reconcile,Verb,make (one thing,another,bring into consonance or accord,come to terms,accept as inevitable,,,,,
recondite,Adjective,difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge,,,,,,,,,
refute,Verb,"overthrow by argument, evidence, or proof",prove to be false or incorrect,,,,,,,,
relentless,Adjective,not to be placated or appeased or moved by entreaty,never-ceasing,,,,,,,,
relevant,Adjective,having a bearing on or connection with the subject at issue,,,,,,,,,
rescind,Verb,cancel officially,,,,,,,,,
respectively,Adverb,in the order given,,,,,,,,,
reticent,Adjective,temperamentally disinclined to talk,cool and formal in manner,reluctant to draw attention to yourself,,,,,,,
reverent,Adjective,feeling or showing profound respect or veneration,showing great reverence for god,,,,,,,,
rhetoric,Noun,using language effectively to please or persuade,high-flown style; excessive use of verbal ornamentation,loud and confused and empty talk,study of the technique and rules for using language effectively (especially in public speaking,,,,,,
sanction,Noun,formal and explicit approval,a mechanism of social control for enforcing a society's standards,official permission or approval,the act of final authorization,,,,,,
sanction,Verb,give sanction to,give authority or permission to,"give religious sanction to, such as through on oath",,,,,,,
satiate,Verb,fill to satisfaction,overeat or eat immodestly; make a pig of oneself,,,,,,,,
satiate,Adjective,supplied (especially fed,,,,,,,,,
secular,Noun,someone who is not a clergyman or a professional person,,,,,,,,,
secular,Adjective,of or relating to the doctrine that rejects religion and religious considerations,characteristic of or devoted to the temporal world as opposed to the spiritual world,not concerned with or devoted to religion,of or relating to clergy not bound by monastic vows,characteristic of those who are not members of the clergy,,,,,
sediment,Noun,matter that has been deposited by some natural process,,,,,,,,,
sediment,Verb,deposit as a sediment,settle as sediment,,,,,,,,
simultaneous,Adjective,occurring or operating at the same time,,,,,,,,,
soporific,Noun,a drug that induces sleep,,,,,,,,,
soporific,Adjective,sleep inducing,inducing mental lethargy,,,,,,,,
sparse,Adjective,not dense,,,,,,,,,
sporadic,Adjective,recurring in scattered and irregular or unpredictable instances,,,,,,,,,
spurious,Adjective,"ostensibly valid, but not actually valid",plausible but false,born out of wedlock,false or fake; not what it appears to be,,,,,,
stolid,Adjective,having or revealing little emotion or sensibility; not easily aroused or excited,,,,,,,,,
subjective,Adjective,taking place within the mind and modified by individual bias,of a mental act performed entirely within the mind,,,,,,,,
substantiate,Verb,establish or strengthen as with new evidence or facts,represent in bodily form,make real or concrete; give reality or substance to,"solidify, firm, or strengthen",,,,,,
subversive,Noun,a radical supporter of political or social revolution,,,,,,,,,
subversive,Adjective,in opposition to a civil authority or government,,,,,,,,,
sufficient,Adjective,of a quantity that can fulfill a need or requirement but without being abundant,,,,,,,,,
superbly,Adverb,(used as an intensifier,,,,,,,,,
supine,Adjective,lying face upward,passive as a result of indolence or indifference,,,,,,,,
supplant,Verb,take the place or move into the position of,,,,,,,,,
sycophant,Noun,a person who tries to please someone in order to gain a personal advantage,,,,,,,,,
synthesize,Verb,"combine so as to form a more complex, product",combine and form a synthesis,,,,,,,,
tacit,Adjective,implied by or inferred from actions or statements,,,,,,,,,
temperance,Noun,the trait of avoiding excesses,abstaining from excess,the act of tempering,,,,,,,
tenuous,Adjective,having thin consistency,very thin in gauge or diameter,lacking substance or significance,,,,,,,
timorous,Adjective,timid by nature or revealing timidity,,,,,,,,,
tirade,Noun,a speech of violent denunciation,,,,,,,,,
torpor,Noun,a state of motor and mental inactivity with a partial suspension of sensibility,inactivity resulting from lethargy and lack of vigor or energy,,,,,,,,
tortuous,Adjective,highly complex or intricate and occasionally devious,marked by repeated turns and bends,not straightforward,,,,,,,
tractable,Adjective,easily managed (controlled or taught or molded,responsive to suggestions and influences,,,,,,,,
transient,Noun,one who stays for only a short time,(physics,,,,,,,,
transient,Adjective,of a mental act; causing effects outside the mind,lasting a very short time,,,,,,,,
ubiquitous,Adjective,being present everywhere at once,,,,,,,,,
unadorned,Adjective,not decorated with something to increase its beauty or distinction,,,,,,,,,
undermine,Verb,destroy property or hinder normal operations,hollow out as if making a cave or opening,,,,,,,,
underscore,Noun,a line drawn underneath (especially under written matter,,,,,,,,,
underscore,Verb,give extra weight to (a communication,draw a line or lines underneath to call attention to,,,,,,,,
venality,Noun,prostitution of talents or offices or services for reward,,,,,,,,,
verbose,Adjective,using or containing too many words,or windy,,,,,,,,
vexation,Noun,anger produced by some annoying irritation,the psychological state of being irritated or annoyed,something or someone that causes anxiety; a source of unhappiness,the act of troubling or annoying someone,,,,,,
whimsical,Adjective,determined by chance or impulse or whim rather than by necessity or reason,,,,,,,,,
proliferation,Noun,growth by the rapid multiplication of parts,a rapid increase in number (especially a rapid increase in the number of deadly weapons,,,,,,,,
feckless,Adjective,not fit to assume responsibility,generally incompetent and ineffectual,,,,,,,,
punctilious,Adjective,marked by precise accordance with details,,,,,,,,,
abstruse,Adjective,difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge,,,,,,,,,
adroit,Adjective,quick or skillful or adept in action or thought,,,,,,,,,
prolix,Adjective,tediously prolonged or tending to speak or write at great length,,,,,,,,,
eulogy,Noun,a formal expression of praise for someone who has died recently,a formal expression of praise,,,,,,,,
cogent,Adjective,powerfully persuasive,,,,,,,,,
contentious,Adjective,"inclined or showing an inclination to dispute or disagree, even to engage in law suits",involving or likely to cause controversy,,,,,,,,
diffident,Adjective,showing modest reserve,lacking self-confidence,,,,,,,,
disabuse,Verb,free somebody (from an erroneous belief,,,,,,,,,
germane,Adjective,relevant and appropriate,,,,,,,,,
intrepid,Adjective,invulnerable to fear or intimidation,,,,,,,,,
malign,Verb,speak unfavorably about,,,,,,,,,
malign,Adjective,evil or harmful in nature or influence,having or exerting a malignant influence,,,,,,,,
munificent,Adjective,very generous,,,,,,,,,
obsequious,Adjective,attempting to win favor from influential people by flattery,attentive in an ingratiating or servile manner,,,,,,,,
partisan,Noun,a fervent and even militant proponent of something,an ardent and enthusiastic supporter of some person or activity,a pike with a long tapering double-edged blade with lateral projections; 16th and 17th centuries,,,,,,,
partisan,Adjective,devoted to a cause or party,,,,,,,,,
probity,Noun,complete and confirmed integrity; having strong moral principles,,,,,,,,,
reproach,Noun,a mild rebuke or criticism,disgrace or shame,,,,,,,,
reproach,Verb,express criticism towards,,,,,,,,,
salubrious,Adjective,promoting health; healthful,favorable to health of mind or body,,,,,,,,
specious,Adjective,plausible but false,based on pretense; deceptively pleasing,,,,,,,,
taciturn,Adjective,habitually reserved and uncommunicative,,,,,,,,,
untenable,Adjective,not able to be maintained or defended against attack or objection,,,,,,,,,
veracity,Noun,unwillingness to tell lies,,,,,,,,,
dilapidated,Verb,bring into a condition of decay or partial ruin by neglect or misuse,fall into decay or ruin,,,,,,,,
dilapidated,Adjective,in deplorable condition,,,,,,,,,
exacting,Verb,claim as due or just,take as an undesirable consequence of some event or state of affairs,,,,,,,,
exacting,Adjective,having complicated nutritional requirements; especially growing only in special artificial cultures,severe and unremitting in making demands,requiring precise accuracy,,,,,,,
